Faculty,1st Semester,2nd Semester,Average,Classification,Value
1,4,1.5,2.75,Non-Performer,2
2,3,4.1,3.55,Performer,1
3,2.2,4.8,3.5,Performer,1
4,2,,#VALUE!,#VALUE!,#VALUE!
5,3.3,2.8,3.05,Performer,1
6,1.6,2.3,1.95,Non-Performer,2
7,3.7,3.2,3.45,Performer,1
8,1.5,3.4,2.45,Non-Performer,2
9,2.5,3.5,3,Performer,1
10,2.9,,#VALUE!,#VALUE!,#VALUE!
11,2.7,1.9,2.3,Non-Performer,2
12,4.4,1.2,2.8,Non-Performer,2
13,4.5,2.2,3.35,Performer,1
14,1.7,4,2.85,Non-Performer,2
15,2.1,2.1,2.1,Non-Performer,2
16,2.5,2,2.25,Non-Performer,2
17,2.8,3,2.9,Non-Performer,2
18,3.6,2.5,3.05,Performer,1
19,3.2,,#VALUE!,#VALUE!,#VALUE!
20,4.7,1.9,3.3,Performer,1
21,2.4,1.1,1.75,Non-Performer,2
22,3.3,4.7,4,Performer,1
23,3.5,1.3,2.4,Non-Performer,2
24,4.7,3.3,4,Performer,1
25,2.2,3.7,2.95,Non-Performer,2
26,3.2,,#VALUE!,#VALUE!,#VALUE!
27,2.7,3.8,3.25,Performer,1
28,4.5,3.2,3.85,Performer,1
29,4.1,4.6,4.35,Performer,1
30,2.3,1.3,1.8,Non-Performer,2
31,3.5,,#VALUE!,#VALUE!,#VALUE!
32,4.3,2.2,3.25,Performer,1
33,2.2,4.4,3.3,Performer,1
34,2.4,3.3,2.85,Non-Performer,2
35,4.4,2.9,3.65,Performer,1
36,1.7,2.4,2.05,Non-Performer,2
37,1.5,4.3,2.9,Non-Performer,2
38,1.4,1.1,1.25,Non-Performer,2
39,2.7,3,2.85,Non-Performer,2
40,4.2,3.2,3.7,Performer,1
41,1.9,4.4,3.15,Performer,1
42,2.8,2.7,2.75,Non-Performer,2
43,4.1,2,3.05,Performer,1
44,2.7,3.9,3.3,Performer,1
45,1.6,1.7,1.65,Non-Performer,2
